minute_index,app_du,active_container_count,service_cpu_utilization_mean,service_memory_utilization_mean,service_cpu_used_cores_proxy,service_cpu_request_cores_total,mean_container_mem_size,service_sample_count,service_cpu_utilization_weighted,imputed
1456,app_141,203.0,21.948686371100163,98.811986863711,356.44666666666666,1624.0,3.13,287,21.948686371100163,0
1457,app_141,196.0,22.00127551020408,98.22321428571429,344.98,1568.0,3.13,278,22.00127551020408,0
1458,app_141,196.0,20.444302721088437,98.2593537414966,320.56666666666666,1568.0,3.13,247,20.444302721088437,0
1459,app_141,201.0,21.171227197346603,98.71475953565506,340.43333333333334,1608.0,3.13,276,21.171227197346603,0
1460,app_141,196.0,21.069302721088434,98.77380952380953,330.3666666666667,1568.0,3.13,265,21.069302721088434,0
1461,app_141,213.0,21.66353677621283,98.36541471048513,369.14666666666665,1704.0,3.13,283,21.66353677621283,0
1462,app_141,198.0,20.281565656565657,98.8459595959596,321.26,1584.0,3.13,291,20.281565656565657,0
1463,app_141,179.0,19.568435754189945,98.34729981378027,280.22,1432.0,3.13,229,19.568435754189945,0
1464,app_141,172.0,19.768410852713178,98.32170542635659,272.0133333333333,1376.0,3.13,228,19.768410852713178,0
1465,app_141,183.0,19.551001821493625,98.46083788706738,286.2266666666667,1464.0,3.13,255,19.551001821493625,0
1466,app_141,196.0,19.67091836734694,98.9498299319728,308.44,1568.0,3.13,265,19.67091836734694,0
1467,app_141,202.0,20.43523102310231,98.4674092409241,330.23333333333335,1616.0,3.13,279,20.43523102310231,0
1468,app_141,158.0,19.152426160337555,98.88291139240506,242.08666666666667,1264.0,3.13,229,19.152426160337555,0
1469,app_141,196.0,18.915816326530614,98.94727891156464,296.6,1568.0,3.13,281,18.915816326530614,0
1470,app_141,181.0,20.60211786372007,98.77762430939227,298.3186666666667,1448.0,3.13,241,20.602117863720075,0
1471,app_141,185.0,20.970945945945946,98.20630630630632,310.37,1480.0,3.13,256,20.970945945945946,0
1472,app_141,181.0,20.060313075506446,98.38674033149171,290.47333333333336,1448.0,3.13,245,20.060313075506446,0
1473,app_141,172.0,20.04796511627907,98.24709302325581,275.86,1376.0,3.13,228,20.04796511627907,0
1474,app_141,178.0,19.160112359550563,98.33520599250937,272.84,1424.0,3.13,243,19.16011235955056,0
1475,app_141,170.0,19.03872549019608,98.9014705882353,258.9266666666667,1360.0,3.1300000000000003,231,19.03872549019608,0
1476,app_141,180.0,19.404166666666665,98.34722222222223,279.42,1440.0,3.13,235,19.404166666666665,0
1477,app_141,162.0,19.895061728395063,98.83539094650206,257.84,1296.0,3.13,215,19.89506172839506,0
1478,app_141,169.0,19.06114398422091,98.18934911242603,257.70666666666665,1352.0,3.1300000000000003,222,19.061143984220905,0
1479,app_141,191.0,19.147905759162303,98.3019197207679,292.58,1528.0,3.1299999999999994,257,19.147905759162303,0
1480,app_141,175.0,19.61047619047619,98.22,274.5466666666667,1400.0,3.13,228,19.61047619047619,0
1481,app_141,198.0,19.43308080808081,98.2138047138047,307.82,1584.0,3.13,284,19.43308080808081,0
1482,app_141,193.0,18.491796200345423,98.26424870466322,285.5133333333333,1544.0,3.1300000000000003,273,18.491796200345423,0
1483,app_141,181.0,18.959484346224677,98.51703499079188,274.53333333333336,1448.0,3.13,255,18.95948434622468,0
1484,app_141,183.0,18.960837887067395,98.65027322404372,277.58666666666664,1464.0,3.13,249,18.960837887067395,0
1485,app_141,175.0,19.60857142857143,98.69714285714285,274.52,1400.0,3.13,226,19.60857142857143,0
1486,app_141,163.0,17.34406952965235,98.63087934560328,226.16666666666666,1304.0,3.13,213,17.34406952965235,0
